"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","2de63hNYGRgcNTXCtXQGvu",2024,0.659,0.655,-7.42,0.0805,0.167,0,0.105,0.529,89.959,"3GY16GkbrhV1hya2TKsaaj",4,241958,"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)","The Academy: Segunda Misión","C# minor"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","2de63hNYGRgcNTXCtXQGvu",2024,0.827,0.677,-6.342,0.072,0.0529,0,0.402,0.599,91.985,"0QoaFLmBJyuVuzOIGy6iCS",4,229738,"LA RANGER (feat. Myke Towers)","The Academy: Segunda Misión","A major"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","2de63hNYGRgcNTXCtXQGvu",2024,0.789,0.864,-4.754,0.0521,0.0456,0,0.815,0.571,95.99,"617mNvfkXLMu1NisQfvYF2",4,233099,"FLOWHOT (feat. Arcángel, De La Ghetto, Randy)","The Academy: Segunda Misión","G major"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","2de63hNYGRgcNTXCtXQGvu",2024,0.756,0.545,-6.12,0.153,0.102,3.38e-06,0.379,0.543,82.104,"7irTyPzSyqSbeUXbYsTR5j",4,260534,"LATTE (feat. Maria Becerra)","The Academy: Segunda Misión","F# minor"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","2de63hNYGRgcNTXCtXQGvu",2024,0.761,0.676,-4.216,0.0868,0.209,1.44e-06,0.0398,0.675,170.042,"475Alro27tSTuCgaBPaqfx",4,234481,"EL ROYCE (feat. Natti Natasha, iZaak)","The Academy: Segunda Misión","G# major"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","2de63hNYGRgcNTXCtXQGvu",2024,0.756,0.649,-4.801,0.0883,0.0576,0,0.615,0.74,180.046,"41XmmKJHx1ZAH0Iykgjxfx",4,234103,"QUÍTENME EL TELÉFONO (feat. Yandel, Jay Wheeler)","The Academy: Segunda Misión","C# major"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","2de63hNYGRgcNTXCtXQGvu",2024,0.823,0.706,-4.543,0.0772,0.123,0.000183,0.295,0.646,96.041,"6AoPTCP7wUJrcqrf4Gn71p",4,269851,"AMIGA (feat. Ryan Castro)","The Academy: Segunda Misión","F# major"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","2de63hNYGRgcNTXCtXQGvu",2024,0.823,0.706,-5.305,0.114,0.0402,6.61e-05,0.0761,0.682,97.059,"0jGviSj6Lk5kUcMHXVqGJF",4,173273,"SEÑORITA (feat. Zion)","The Academy: Segunda Misión","A minor"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","2de63hNYGRgcNTXCtXQGvu",2024,0.793,0.671,-3.852,0.0937,0.103,4.83e-05,0.085,0.671,172.067,"0SOCRjLkavUZKS4xLYFQWK",4,236971,"BLINBLINEO (feat. Omar Courtz)","The Academy: Segunda Misión","F major"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","20jm8zrqWsVXKWBhhiOT0I",2022,0.698,0.845,-4.705,0.12,0.176,0,0.239,0.749,171.938,"0fxnCHHRsFXLlMLtgjfwRL",4,276104,"La Pared 720 (feat. Justin Quiles, Brray)","KRACK DELUXE","G major"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","20jm8zrqWsVXKWBhhiOT0I",2022,0.717,0.781,-4.546,0.0987,0.379,4.45e-06,0.291,0.781,159.975,"04EEFXiqJMWsMMyJuq6wzU",4,298114,"TBT (Remix) [feat. Micro TDH, Feid]","KRACK DELUXE","B minor"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","20jm8zrqWsVXKWBhhiOT0I",2022,0.763,0.723,-3.328,0.132,0.425,3.52e-06,0.083,0.815,170.044,"3Lnfbc1ZlIzIU5KmAeQNj4",4,211464,"Que Vamo’ Hacer?","KRACK DELUXE","A major"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","48jz9xkHGLp3X7dNq4Fljx",2021,0.74,0.673,-2.872,0.102,0.232,4.45e-06,0.12,0.698,180.026,"3MvpSDePWyiVxheU1eff6L",4,198591,"Me Enamora","KRACK","C major"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","48jz9xkHGLp3X7dNq4Fljx",2021,0.741,0.784,-4.534,0.088,0.386,0,0.25,0.697,94.007,"7cGxPzXU4FiuPmAHNtPBfs",4,187839,"Imagínate (feat. Nicky Jam)","KRACK","C minor"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","48jz9xkHGLp3X7dNq4Fljx",2021,0.724,0.537,-6.94,0.292,0.375,6.8e-06,0.0693,0.45,73.976,"4dyhfLyhSLLzqe7qXdvrZL",4,214054,"Kush","KRACK","C# major"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","48jz9xkHGLp3X7dNq4Fljx",2021,0.777,0.727,-4.683,0.151,0.246,0,0.147,0.832,168.289,"5XnjXubiDwZRxv6JhatL5v",4,152595,"La Pared 360","KRACK","D minor"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","48jz9xkHGLp3X7dNq4Fljx",2021,0.527,0.744,-5.664,0.0512,0.508,0,0.0603,0.901,119.897,"7yyoZJNwdS9CedwDkxYjjP",3,234611,"Enfermo de Riqueza","KRACK","C minor"
"Lenny Tavárez","1pQWsZQehhS4wavwh7Fnxd","48jz9xkHGLp3X7dNq4Fljx",2021,0.624,0.543,-4.868,0.425,0.479,2.16e-05,0.145,0.353,92,"1ScgTFsIQHQ4IuId6GliBk",4,218912,"A 100","KRACK","F# major"
