"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6GRPGE56GlGQh5R4WsHm0B","album","2021-09-03",2021,"day",0.641,0.373,11,-16.408,0,0.0425,0.905,0.868,0.122,0.326,108.068,"1yGWCxz5fQRlage1xAhLjP","https://api.spotify.com/v1/audio-analysis/1yGWCxz5fQRlage1xAhLjP",3,1,267525,FALSE,"https://api.spotify.com/v1/tracks/1yGWCxz5fQRlage1xAhLjP",FALSE,"Chain Reaction - Quarantine Sessions","https://p.scdn.co/mp3-preview/aa8a0c5eaee372d9ab5aae2e6e7f9ab18c0ee624?cid=a684933cbff543e08213060e872e4bd5",1,"track","spotify:track:1yGWCxz5fQRlage1xAhLjP","https://open.spotify.com/track/1yGWCxz5fQRlage1xAhLjP","Quarantine Sessions","B","minor","B minor"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6GRPGE56GlGQh5R4WsHm0B","album","2021-09-03",2021,"day",0.629,0.299,6,-12.056,1,0.0491,0.949,0.898,0.199,0.349,67.785,"6ljK8pycxEv0Yqn1cdxvME","https://api.spotify.com/v1/audio-analysis/6ljK8pycxEv0Yqn1cdxvME",5,1,210077,FALSE,"https://api.spotify.com/v1/tracks/6ljK8pycxEv0Yqn1cdxvME",FALSE,"Cranes in the Sky - Quarantine Sessions","https://p.scdn.co/mp3-preview/83110eb86d8f26ffc54ab1bfb28fb9db8ac36276?cid=a684933cbff543e08213060e872e4bd5",2,"track","spotify:track:6ljK8pycxEv0Yqn1cdxvME","https://open.spotify.com/track/6ljK8pycxEv0Yqn1cdxvME","Quarantine Sessions","F#","major","F# major"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6GRPGE56GlGQh5R4WsHm0B","album","2021-09-03",2021,"day",0.552,0.242,9,-12.335,1,0.0272,0.926,0.923,0.0927,0.24,101.987,"49mRxkQ4t78qE015yJzpCE","https://api.spotify.com/v1/audio-analysis/49mRxkQ4t78qE015yJzpCE",4,1,284900,FALSE,"https://api.spotify.com/v1/tracks/49mRxkQ4t78qE015yJzpCE",FALSE,"For Carol - Quarantine Sessions","https://p.scdn.co/mp3-preview/39a8264515e304539dd7a555a22745925b1143a5?cid=a684933cbff543e08213060e872e4bd5",3,"track","spotify:track:49mRxkQ4t78qE015yJzpCE","https://open.spotify.com/track/49mRxkQ4t78qE015yJzpCE","Quarantine Sessions","A","major","A major"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6GRPGE56GlGQh5R4WsHm0B","album","2021-09-03",2021,"day",0.781,0.294,2,-10.662,0,0.0451,0.974,0.745,0.108,0.504,117.992,"2RmoWGJh7j7zkZHPTNCFkq","https://api.spotify.com/v1/audio-analysis/2RmoWGJh7j7zkZHPTNCFkq",4,1,179211,FALSE,"https://api.spotify.com/v1/tracks/2RmoWGJh7j7zkZHPTNCFkq",FALSE,"Gypsy Woman - Quarantine Sessions","https://p.scdn.co/mp3-preview/43327b94f3dba6b5699f68a8c8862318771a0db5?cid=a684933cbff543e08213060e872e4bd5",4,"track","spotify:track:2RmoWGJh7j7zkZHPTNCFkq","https://open.spotify.com/track/2RmoWGJh7j7zkZHPTNCFkq","Quarantine Sessions","D","minor","D minor"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6GRPGE56GlGQh5R4WsHm0B","album","2021-09-03",2021,"day",0.806,0.756,7,-11.778,1,0.0795,0.866,0.762,0.153,0.819,109.015,"1ruXeYNhbkWPxdQbf0MxQN","https://api.spotify.com/v1/audio-analysis/1ruXeYNhbkWPxdQbf0MxQN",4,1,248783,FALSE,"https://api.spotify.com/v1/tracks/1ruXeYNhbkWPxdQbf0MxQN",FALSE,"Parabéns - Quarantine Sessions","https://p.scdn.co/mp3-preview/c2d8953d5415211bda02d268df58fd51d4998202?cid=a684933cbff543e08213060e872e4bd5",5,"track","spotify:track:1ruXeYNhbkWPxdQbf0MxQN","https://open.spotify.com/track/1ruXeYNhbkWPxdQbf0MxQN","Quarantine Sessions","G","major","G major"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6GRPGE56GlGQh5R4WsHm0B","album","2021-09-03",2021,"day",0.579,0.404,8,-6.376,1,0.0257,0.956,0.917,0.213,0.364,98.959,"2Hgzum7H2684UkIiBURmu0","https://api.spotify.com/v1/audio-analysis/2Hgzum7H2684UkIiBURmu0",4,1,231863,FALSE,"https://api.spotify.com/v1/tracks/2Hgzum7H2684UkIiBURmu0",FALSE,"Smells Like Teen Spirit - Quarantine Sessions","https://p.scdn.co/mp3-preview/eecf16d6927623cfcfe33c9a1cd39d4ab5931022?cid=a684933cbff543e08213060e872e4bd5",6,"track","spotify:track:2Hgzum7H2684UkIiBURmu0","https://open.spotify.com/track/2Hgzum7H2684UkIiBURmu0","Quarantine Sessions","G#","major","G# major"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6GRPGE56GlGQh5R4WsHm0B","album","2021-09-03",2021,"day",0.398,0.216,0,-12.736,1,0.031,0.933,0.9,0.107,0.165,78.228,"5pJqm8YWk0Q2Rn33RoqPM4","https://api.spotify.com/v1/audio-analysis/5pJqm8YWk0Q2Rn33RoqPM4",4,1,298369,FALSE,"https://api.spotify.com/v1/tracks/5pJqm8YWk0Q2Rn33RoqPM4",FALSE,"The Wilhelm Scream - Quarantine Sessions","https://p.scdn.co/mp3-preview/d41720f3b4a959650179e90f1cc57e8758d09fd9?cid=a684933cbff543e08213060e872e4bd5",7,"track","spotify:track:5pJqm8YWk0Q2Rn33RoqPM4","https://open.spotify.com/track/5pJqm8YWk0Q2Rn33RoqPM4","Quarantine Sessions","C","major","C major"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6GRPGE56GlGQh5R4WsHm0B","album","2021-09-03",2021,"day",0.581,0.154,6,-16.599,0,0.0379,0.944,0.864,0.057,0.197,102.966,"7jkZmyedGOIyDEVMJ4TFSX","https://api.spotify.com/v1/audio-analysis/7jkZmyedGOIyDEVMJ4TFSX",4,1,273295,FALSE,"https://api.spotify.com/v1/tracks/7jkZmyedGOIyDEVMJ4TFSX",FALSE,"Missing You - Quarantine Sessions","https://p.scdn.co/mp3-preview/12c76ac7b770e6e1ffebf42b0d933a45fce53b17?cid=a684933cbff543e08213060e872e4bd5",8,"track","spotify:track:7jkZmyedGOIyDEVMJ4TFSX","https://open.spotify.com/track/7jkZmyedGOIyDEVMJ4TFSX","Quarantine Sessions","F#","minor","F# minor"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.523,0.56,5,-9.423,0,0.145,0.0532,0.83,0.0981,0.151,96.167,"47w6S27JF4Zvrz1Wd6R66Z","https://api.spotify.com/v1/audio-analysis/47w6S27JF4Zvrz1Wd6R66Z",4,1,230470,FALSE,"https://api.spotify.com/v1/tracks/47w6S27JF4Zvrz1Wd6R66Z",FALSE,"What Kinda Music",NA,1,"track","spotify:track:47w6S27JF4Zvrz1Wd6R66Z","https://open.spotify.com/track/47w6S27JF4Zvrz1Wd6R66Z","What Kinda Music","F","minor","F minor"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.414,0.478,10,-11.783,0,0.0509,0.322,0.396,0.0773,0.129,152.05,"2lXFtsU8naRn2mC0DACJEl","https://api.spotify.com/v1/audio-analysis/2lXFtsU8naRn2mC0DACJEl",4,1,282408,FALSE,"https://api.spotify.com/v1/tracks/2lXFtsU8naRn2mC0DACJEl",FALSE,"Festival",NA,2,"track","spotify:track:2lXFtsU8naRn2mC0DACJEl","https://open.spotify.com/track/2lXFtsU8naRn2mC0DACJEl","What Kinda Music","A#","minor","A# minor"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.729,0.571,11,-9.188,0,0.0869,0.0774,0.213,0.0994,0.582,81.486,"5TgZ7lOUugOdabBcD9a6ud","https://api.spotify.com/v1/audio-analysis/5TgZ7lOUugOdabBcD9a6ud",4,1,300990,TRUE,"https://api.spotify.com/v1/tracks/5TgZ7lOUugOdabBcD9a6ud",FALSE,"Nightrider",NA,3,"track","spotify:track:5TgZ7lOUugOdabBcD9a6ud","https://open.spotify.com/track/5TgZ7lOUugOdabBcD9a6ud","What Kinda Music","B","minor","B minor"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.533,0.487,4,-8.79,0,0.052,0.0458,0.833,0.113,0.339,141.427,"4Goj7amQLl2PiPYaiB0VlV","https://api.spotify.com/v1/audio-analysis/4Goj7amQLl2PiPYaiB0VlV",3,1,249427,FALSE,"https://api.spotify.com/v1/tracks/4Goj7amQLl2PiPYaiB0VlV",FALSE,"Tidal Wave",NA,4,"track","spotify:track:4Goj7amQLl2PiPYaiB0VlV","https://open.spotify.com/track/4Goj7amQLl2PiPYaiB0VlV","What Kinda Music","E","minor","E minor"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.485,0.636,11,-8.75,0,0.034,0.000374,0.563,0.211,0.233,95.199,"5oEhWt6RfUHSBiSfZVnymh","https://api.spotify.com/v1/audio-analysis/5oEhWt6RfUHSBiSfZVnymh",4,1,84920,FALSE,"https://api.spotify.com/v1/tracks/5oEhWt6RfUHSBiSfZVnymh",FALSE,"Sensational",NA,5,"track","spotify:track:5oEhWt6RfUHSBiSfZVnymh","https://open.spotify.com/track/5oEhWt6RfUHSBiSfZVnymh","What Kinda Music","B","minor","B minor"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.51,0.456,2,-12.643,1,0.0485,0.282,0.0979,0.164,0.283,96.279,"28wERzXJWMb4Qx1bf9EXyW","https://api.spotify.com/v1/audio-analysis/28wERzXJWMb4Qx1bf9EXyW",4,1,161894,FALSE,"https://api.spotify.com/v1/tracks/28wERzXJWMb4Qx1bf9EXyW",FALSE,"The Real",NA,6,"track","spotify:track:28wERzXJWMb4Qx1bf9EXyW","https://open.spotify.com/track/28wERzXJWMb4Qx1bf9EXyW","What Kinda Music","D","major","D major"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.488,0.567,1,-9.875,1,0.1,0.0307,0.842,0.0896,0.308,138.522,"6yvTddeHmEiYG7FN8a5frz","https://api.spotify.com/v1/audio-analysis/6yvTddeHmEiYG7FN8a5frz",4,1,318939,FALSE,"https://api.spotify.com/v1/tracks/6yvTddeHmEiYG7FN8a5frz",FALSE,"Lift Off",NA,7,"track","spotify:track:6yvTddeHmEiYG7FN8a5frz","https://open.spotify.com/track/6yvTddeHmEiYG7FN8a5frz","What Kinda Music","C#","major","C# major"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.598,0.666,2,-11.111,1,0.0658,0.807,0.916,0.0994,0.417,122.46,"4xWLo3R0jjTVOdmtjC5MKI","https://api.spotify.com/v1/audio-analysis/4xWLo3R0jjTVOdmtjC5MKI",4,1,241762,FALSE,"https://api.spotify.com/v1/tracks/4xWLo3R0jjTVOdmtjC5MKI",FALSE,"I Did It For You",NA,8,"track","spotify:track:4xWLo3R0jjTVOdmtjC5MKI","https://open.spotify.com/track/4xWLo3R0jjTVOdmtjC5MKI","What Kinda Music","D","major","D major"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.651,0.64,9,-8.386,0,0.0866,0.656,0.391,0.151,0.646,91.087,"39WFZVKifA8Fl2TZI2kp0S","https://api.spotify.com/v1/audio-analysis/39WFZVKifA8Fl2TZI2kp0S",4,1,240330,FALSE,"https://api.spotify.com/v1/tracks/39WFZVKifA8Fl2TZI2kp0S",FALSE,"Last 100",NA,9,"track","spotify:track:39WFZVKifA8Fl2TZI2kp0S","https://open.spotify.com/track/39WFZVKifA8Fl2TZI2kp0S","What Kinda Music","A","minor","A minor"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.581,0.622,9,-10.681,0,0.0726,0.299,0.728,0.224,0.286,98.483,"1vzqTU4KJrKhezhPgZkjTr","https://api.spotify.com/v1/audio-analysis/1vzqTU4KJrKhezhPgZkjTr",4,1,210093,FALSE,"https://api.spotify.com/v1/tracks/1vzqTU4KJrKhezhPgZkjTr",FALSE,"Kyiv",NA,10,"track","spotify:track:1vzqTU4KJrKhezhPgZkjTr","https://open.spotify.com/track/1vzqTU4KJrKhezhPgZkjTr","What Kinda Music","A","minor","A minor"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.45,0.528,0,-11.269,1,0.0811,0.232,0.0901,0.155,0.461,92.88,"7qGAPavRijMOtbm7EzCaUq","https://api.spotify.com/v1/audio-analysis/7qGAPavRijMOtbm7EzCaUq",4,1,197098,FALSE,"https://api.spotify.com/v1/tracks/7qGAPavRijMOtbm7EzCaUq",FALSE,"Julie Mangos",NA,11,"track","spotify:track:7qGAPavRijMOtbm7EzCaUq","https://open.spotify.com/track/7qGAPavRijMOtbm7EzCaUq","What Kinda Music","C","major","C major"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.389,0.716,2,-9.59,1,0.164,0.257,0.901,0.256,0.12,88.759,"1wq5gRZ5JRn25N4JCUg1oO","https://api.spotify.com/v1/audio-analysis/1wq5gRZ5JRn25N4JCUg1oO",4,1,185766,FALSE,"https://api.spotify.com/v1/tracks/1wq5gRZ5JRn25N4JCUg1oO",FALSE,"Storm Before The Calm",NA,12,"track","spotify:track:1wq5gRZ5JRn25N4JCUg1oO","https://open.spotify.com/track/1wq5gRZ5JRn25N4JCUg1oO","What Kinda Music","D","major","D major"
