"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.611,0.846,7,-3.548,1,0.0374,0.178,0,0.12,0.544,129.961,"19zSmPJzUpWsfDmAHEpbGE","https://api.spotify.com/v1/audio-analysis/19zSmPJzUpWsfDmAHEpbGE",4,1,153253,FALSE,"https://api.spotify.com/v1/tracks/19zSmPJzUpWsfDmAHEpbGE",FALSE,"Long Live",NA,1,"track","spotify:track:19zSmPJzUpWsfDmAHEpbGE","https://open.spotify.com/track/19zSmPJzUpWsfDmAHEpbGE","Life Rolls On (Deluxe)","G","major","G major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.595,0.798,0,-3.539,1,0.0349,0.477,0,0.238,0.504,87.955,"1x1Mnm5VU4W0ngNM0crYV9","https://api.spotify.com/v1/audio-analysis/1x1Mnm5VU4W0ngNM0crYV9",4,1,167973,FALSE,"https://api.spotify.com/v1/tracks/1x1Mnm5VU4W0ngNM0crYV9",FALSE,"Life Looks Good",NA,2,"track","spotify:track:1x1Mnm5VU4W0ngNM0crYV9","https://open.spotify.com/track/1x1Mnm5VU4W0ngNM0crYV9","Life Rolls On (Deluxe)","C","major","C major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.65,0.559,9,-5.296,1,0.0305,0.429,0,0.126,0.302,84.954,"0IhqQvu8DfWL7md12vIUgO","https://api.spotify.com/v1/audio-analysis/0IhqQvu8DfWL7md12vIUgO",4,1,200666,FALSE,"https://api.spotify.com/v1/tracks/0IhqQvu8DfWL7md12vIUgO",FALSE,"Countryside",NA,3,"track","spotify:track:0IhqQvu8DfWL7md12vIUgO","https://open.spotify.com/track/0IhqQvu8DfWL7md12vIUgO","Life Rolls On (Deluxe)","A","major","A major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.543,0.723,6,-4.892,1,0.0499,0.165,0,0.11,0.428,143.028,"6eoBdiJW6YpfGd0mekC3sa","https://api.spotify.com/v1/audio-analysis/6eoBdiJW6YpfGd0mekC3sa",4,1,177026,FALSE,"https://api.spotify.com/v1/tracks/6eoBdiJW6YpfGd0mekC3sa",FALSE,"Always Gonna Love You",NA,4,"track","spotify:track:6eoBdiJW6YpfGd0mekC3sa","https://open.spotify.com/track/6eoBdiJW6YpfGd0mekC3sa","Life Rolls On (Deluxe)","F#","major","F# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.525,0.94,4,-3.546,1,0.065,0.0283,0,0.236,0.636,140.093,"3pCVwcutoZr2xbqD2mEKC5","https://api.spotify.com/v1/audio-analysis/3pCVwcutoZr2xbqD2mEKC5",4,1,185466,FALSE,"https://api.spotify.com/v1/tracks/3pCVwcutoZr2xbqD2mEKC5",FALSE,"I Love My Country",NA,5,"track","spotify:track:3pCVwcutoZr2xbqD2mEKC5","https://open.spotify.com/track/3pCVwcutoZr2xbqD2mEKC5","Life Rolls On (Deluxe)","E","major","E major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.597,0.766,10,-3.703,1,0.0353,0.175,0,0.23,0.712,139.875,"1Tq3OpOxhhq2PWh9g7RG25","https://api.spotify.com/v1/audio-analysis/1Tq3OpOxhhq2PWh9g7RG25",4,1,191533,FALSE,"https://api.spotify.com/v1/tracks/1Tq3OpOxhhq2PWh9g7RG25",FALSE,"Hard To Get To Heaven",NA,6,"track","spotify:track:1Tq3OpOxhhq2PWh9g7RG25","https://open.spotify.com/track/1Tq3OpOxhhq2PWh9g7RG25","Life Rolls On (Deluxe)","A#","major","A# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.402,0.602,10,-6.1,1,0.0382,0.389,0,0.0915,0.299,119.896,"690USt2bgjvrW28Qd2sPFT","https://api.spotify.com/v1/audio-analysis/690USt2bgjvrW28Qd2sPFT",3,1,194773,FALSE,"https://api.spotify.com/v1/tracks/690USt2bgjvrW28Qd2sPFT",FALSE,"Long Time Comin'",NA,7,"track","spotify:track:690USt2bgjvrW28Qd2sPFT","https://open.spotify.com/track/690USt2bgjvrW28Qd2sPFT","Life Rolls On (Deluxe)","A#","major","A# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.257,0.26,5,-25.801,1,0.0482,0.574,0.912,0.172,0.0719,114.684,"79O0Yn7EKcFH8QeCoyJpqv","https://api.spotify.com/v1/audio-analysis/79O0Yn7EKcFH8QeCoyJpqv",1,1,26105,FALSE,"https://api.spotify.com/v1/tracks/79O0Yn7EKcFH8QeCoyJpqv",FALSE,"Interlude",NA,8,"track","spotify:track:79O0Yn7EKcFH8QeCoyJpqv","https://open.spotify.com/track/79O0Yn7EKcFH8QeCoyJpqv","Life Rolls On (Deluxe)","F","major","F major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.652,0.642,5,-4.736,1,0.0357,0.263,0,0.175,0.458,124.901,"4rLUE4XiMMJx1eoJGWRJZ7","https://api.spotify.com/v1/audio-analysis/4rLUE4XiMMJx1eoJGWRJZ7",4,1,151974,FALSE,"https://api.spotify.com/v1/tracks/4rLUE4XiMMJx1eoJGWRJZ7",FALSE,"Ain’t Worried Bout It",NA,9,"track","spotify:track:4rLUE4XiMMJx1eoJGWRJZ7","https://open.spotify.com/track/4rLUE4XiMMJx1eoJGWRJZ7","Life Rolls On (Deluxe)","F","major","F major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.775,0.884,6,-4.763,0,0.0746,0.019,2.25e-05,0.0921,0.792,100.024,"2hGj8nqcXo6F2QjFR4AYFE","https://api.spotify.com/v1/audio-analysis/2hGj8nqcXo6F2QjFR4AYFE",4,1,139053,FALSE,"https://api.spotify.com/v1/tracks/2hGj8nqcXo6F2QjFR4AYFE",FALSE,"Beer:30",NA,10,"track","spotify:track:2hGj8nqcXo6F2QjFR4AYFE","https://open.spotify.com/track/2hGj8nqcXo6F2QjFR4AYFE","Life Rolls On (Deluxe)","F#","minor","F# minor"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.646,0.829,1,-3.468,1,0.0799,0.169,0,0.0694,0.934,151.082,"7feWTHqO4nbvzqgdm7gg9m","https://api.spotify.com/v1/audio-analysis/7feWTHqO4nbvzqgdm7gg9m",4,1,142373,FALSE,"https://api.spotify.com/v1/tracks/7feWTHqO4nbvzqgdm7gg9m",FALSE,"New Truck",NA,11,"track","spotify:track:7feWTHqO4nbvzqgdm7gg9m","https://open.spotify.com/track/7feWTHqO4nbvzqgdm7gg9m","Life Rolls On (Deluxe)","C#","major","C# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.424,0.725,3,-4.464,1,0.0439,0.31,0,0.101,0.658,201.877,"2y1erW03GzQwk0c0pUost9","https://api.spotify.com/v1/audio-analysis/2y1erW03GzQwk0c0pUost9",4,1,149626,FALSE,"https://api.spotify.com/v1/tracks/2y1erW03GzQwk0c0pUost9",FALSE,"Eyes Closed",NA,12,"track","spotify:track:2y1erW03GzQwk0c0pUost9","https://open.spotify.com/track/2y1erW03GzQwk0c0pUost9","Life Rolls On (Deluxe)","D#","major","D# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.555,0.516,8,-5.33,1,0.0271,0.388,0,0.247,0.293,137.812,"7CWmiJ4RpqVLbMqvsMfOOe","https://api.spotify.com/v1/audio-analysis/7CWmiJ4RpqVLbMqvsMfOOe",3,1,187000,FALSE,"https://api.spotify.com/v1/tracks/7CWmiJ4RpqVLbMqvsMfOOe",FALSE,"Second Guessing - From Songland",NA,13,"track","spotify:track:7CWmiJ4RpqVLbMqvsMfOOe","https://open.spotify.com/track/7CWmiJ4RpqVLbMqvsMfOOe","Life Rolls On (Deluxe)","G#","major","G# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.491,0.769,6,-3.43,1,0.0299,0.0517,0,0.0558,0.529,154.047,"6kySJvSgEn3M1i9HpWLGpp","https://api.spotify.com/v1/audio-analysis/6kySJvSgEn3M1i9HpWLGpp",4,1,169826,FALSE,"https://api.spotify.com/v1/tracks/6kySJvSgEn3M1i9HpWLGpp",FALSE,"Good To Me",NA,14,"track","spotify:track:6kySJvSgEn3M1i9HpWLGpp","https://open.spotify.com/track/6kySJvSgEn3M1i9HpWLGpp","Life Rolls On (Deluxe)","F#","major","F# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.512,0.605,6,-4.857,1,0.0307,0.531,0,0.0924,0.336,137.856,"2PDwuG30Ba4tZmeASJQQP0","https://api.spotify.com/v1/audio-analysis/2PDwuG30Ba4tZmeASJQQP0",4,1,183840,FALSE,"https://api.spotify.com/v1/tracks/2PDwuG30Ba4tZmeASJQQP0",FALSE,"U.S. Stronger",NA,15,"track","spotify:track:2PDwuG30Ba4tZmeASJQQP0","https://open.spotify.com/track/2PDwuG30Ba4tZmeASJQQP0","Life Rolls On (Deluxe)","F#","major","F# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.572,0.691,6,-5.038,1,0.0314,0.163,0,0.14,0.36,130.974,"2M37Gu6loP4aYfJtJBuqt1","https://api.spotify.com/v1/audio-analysis/2M37Gu6loP4aYfJtJBuqt1",4,1,201066,FALSE,"https://api.spotify.com/v1/tracks/2M37Gu6loP4aYfJtJBuqt1",FALSE,"Life Rolls On",NA,16,"track","spotify:track:2M37Gu6loP4aYfJtJBuqt1","https://open.spotify.com/track/2M37Gu6loP4aYfJtJBuqt1","Life Rolls On (Deluxe)","F#","major","F# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","40g5hYGdp9TDQriLdIh7p9","album","2021-02-19",2021,"day",0.668,0.655,4,-5.575,0,0.0361,0.0337,0,0.0461,0.801,120.035,"3Pa8Wvsv9jRMPxjClsDPAd","https://api.spotify.com/v1/audio-analysis/3Pa8Wvsv9jRMPxjClsDPAd",4,1,197185,FALSE,"https://api.spotify.com/v1/tracks/3Pa8Wvsv9jRMPxjClsDPAd",FALSE,"Lil Bit - FGL Remix",NA,17,"track","spotify:track:3Pa8Wvsv9jRMPxjClsDPAd","https://open.spotify.com/track/3Pa8Wvsv9jRMPxjClsDPAd","Life Rolls On (Deluxe)","E","minor","E minor"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.726,0.186,10,-13.144,0,0.94,0.961,0,0.296,0.675,113.964,"6EGVlGAcQT1sVxjnc2z39D","https://api.spotify.com/v1/audio-analysis/6EGVlGAcQT1sVxjnc2z39D",3,1,231502,FALSE,"https://api.spotify.com/v1/tracks/6EGVlGAcQT1sVxjnc2z39D",FALSE,"Long Live - Commentary",NA,1,"track","spotify:track:6EGVlGAcQT1sVxjnc2z39D","https://open.spotify.com/track/6EGVlGAcQT1sVxjnc2z39D","Life Rolls On (Deluxe / Big Machine Radio Release Special)","A#","minor","A# minor"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.611,0.846,7,-3.548,1,0.0374,0.178,0,0.12,0.544,129.961,"70WDivhTkLviAztexQs0DD","https://api.spotify.com/v1/audio-analysis/70WDivhTkLviAztexQs0DD",4,1,153253,FALSE,"https://api.spotify.com/v1/tracks/70WDivhTkLviAztexQs0DD",FALSE,"Long Live",NA,2,"track","spotify:track:70WDivhTkLviAztexQs0DD","https://open.spotify.com/track/70WDivhTkLviAztexQs0DD","Life Rolls On (Deluxe / Big Machine Radio Release Special)","G","major","G major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.728,0.2,8,-12.28,0,0.938,0.794,0,0.204,0.711,120.192,"4yTHJ61tcCJpDziwESf5Mf","https://api.spotify.com/v1/audio-analysis/4yTHJ61tcCJpDziwESf5Mf",5,1,115648,FALSE,"https://api.spotify.com/v1/tracks/4yTHJ61tcCJpDziwESf5Mf",FALSE,"Life Looks Good - Commentary",NA,3,"track","spotify:track:4yTHJ61tcCJpDziwESf5Mf","https://open.spotify.com/track/4yTHJ61tcCJpDziwESf5Mf","Life Rolls On (Deluxe / Big Machine Radio Release Special)","G#","minor","G# minor"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.595,0.798,0,-3.539,1,0.0349,0.477,0,0.238,0.504,87.955,"0kLxR9w7I5pWr8VIGZ5Bp9","https://api.spotify.com/v1/audio-analysis/0kLxR9w7I5pWr8VIGZ5Bp9",4,1,167973,FALSE,"https://api.spotify.com/v1/tracks/0kLxR9w7I5pWr8VIGZ5Bp9",FALSE,"Life Looks Good",NA,4,"track","spotify:track:0kLxR9w7I5pWr8VIGZ5Bp9","https://open.spotify.com/track/0kLxR9w7I5pWr8VIGZ5Bp9","Life Rolls On (Deluxe / Big Machine Radio Release Special)","C","major","C major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.765,0.26,5,-12.142,1,0.919,0.845,0,0.193,0.776,81.652,"5wzrskwW95yeTSlo8R8Yuy","https://api.spotify.com/v1/audio-analysis/5wzrskwW95yeTSlo8R8Yuy",3,1,117182,FALSE,"https://api.spotify.com/v1/tracks/5wzrskwW95yeTSlo8R8Yuy",FALSE,"Countryside - Commentary",NA,5,"track","spotify:track:5wzrskwW95yeTSlo8R8Yuy","https://open.spotify.com/track/5wzrskwW95yeTSlo8R8Yuy","Life Rolls On (Deluxe / Big Machine Radio Release Special)","F","major","F major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.65,0.559,9,-5.296,1,0.0305,0.429,0,0.126,0.302,84.954,"6cmYdvgU7ZmlGWVGz86Sza","https://api.spotify.com/v1/audio-analysis/6cmYdvgU7ZmlGWVGz86Sza",4,1,200666,FALSE,"https://api.spotify.com/v1/tracks/6cmYdvgU7ZmlGWVGz86Sza",FALSE,"Countryside",NA,6,"track","spotify:track:6cmYdvgU7ZmlGWVGz86Sza","https://open.spotify.com/track/6cmYdvgU7ZmlGWVGz86Sza","Life Rolls On (Deluxe / Big Machine Radio Release Special)","A","major","A major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.718,0.215,9,-12.163,0,0.906,0.854,0,0.33,0.703,130.78,"4rfRbqKt8j8tlqz8QcDQYR","https://api.spotify.com/v1/audio-analysis/4rfRbqKt8j8tlqz8QcDQYR",3,1,132111,FALSE,"https://api.spotify.com/v1/tracks/4rfRbqKt8j8tlqz8QcDQYR",FALSE,"Always Gonna Love You - Commentary",NA,7,"track","spotify:track:4rfRbqKt8j8tlqz8QcDQYR","https://open.spotify.com/track/4rfRbqKt8j8tlqz8QcDQYR","Life Rolls On (Deluxe / Big Machine Radio Release Special)","A","minor","A minor"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.543,0.723,6,-4.892,1,0.0499,0.165,0,0.11,0.428,143.028,"69f4D8FKcRzcpstQVj0vRe","https://api.spotify.com/v1/audio-analysis/69f4D8FKcRzcpstQVj0vRe",4,1,177026,FALSE,"https://api.spotify.com/v1/tracks/69f4D8FKcRzcpstQVj0vRe",FALSE,"Always Gonna Love You",NA,8,"track","spotify:track:69f4D8FKcRzcpstQVj0vRe","https://open.spotify.com/track/69f4D8FKcRzcpstQVj0vRe","Life Rolls On (Deluxe / Big Machine Radio Release Special)","F#","major","F# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.692,0.398,1,-11.53,0,0.894,0.757,0,0.209,0.871,66.716,"0GEV6uJ99iiDbvrKP1eLXZ","https://api.spotify.com/v1/audio-analysis/0GEV6uJ99iiDbvrKP1eLXZ",4,1,67691,FALSE,"https://api.spotify.com/v1/tracks/0GEV6uJ99iiDbvrKP1eLXZ",FALSE,"I Love My Country - Commentary",NA,9,"track","spotify:track:0GEV6uJ99iiDbvrKP1eLXZ","https://open.spotify.com/track/0GEV6uJ99iiDbvrKP1eLXZ","Life Rolls On (Deluxe / Big Machine Radio Release Special)","C#","minor","C# minor"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.525,0.94,4,-3.546,1,0.065,0.0283,0,0.236,0.636,140.093,"5eLg3dyHi2nlyM7XhZcO1Q","https://api.spotify.com/v1/audio-analysis/5eLg3dyHi2nlyM7XhZcO1Q",4,1,185466,FALSE,"https://api.spotify.com/v1/tracks/5eLg3dyHi2nlyM7XhZcO1Q",FALSE,"I Love My Country",NA,10,"track","spotify:track:5eLg3dyHi2nlyM7XhZcO1Q","https://open.spotify.com/track/5eLg3dyHi2nlyM7XhZcO1Q","Life Rolls On (Deluxe / Big Machine Radio Release Special)","E","major","E major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.72,0.28,8,-12.253,0,0.924,0.923,0,0.304,0.664,127.492,"39I2uPNlEjJVKu2m3CGjwV","https://api.spotify.com/v1/audio-analysis/39I2uPNlEjJVKu2m3CGjwV",4,1,81598,FALSE,"https://api.spotify.com/v1/tracks/39I2uPNlEjJVKu2m3CGjwV",FALSE,"Hard To Get To Heaven - Commentary",NA,11,"track","spotify:track:39I2uPNlEjJVKu2m3CGjwV","https://open.spotify.com/track/39I2uPNlEjJVKu2m3CGjwV","Life Rolls On (Deluxe / Big Machine Radio Release Special)","G#","minor","G# minor"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.597,0.766,10,-3.703,1,0.0353,0.175,0,0.23,0.712,139.875,"3k7jvrUiyvHPTSIlTywdqh","https://api.spotify.com/v1/audio-analysis/3k7jvrUiyvHPTSIlTywdqh",4,1,191533,FALSE,"https://api.spotify.com/v1/tracks/3k7jvrUiyvHPTSIlTywdqh",FALSE,"Hard To Get To Heaven",NA,12,"track","spotify:track:3k7jvrUiyvHPTSIlTywdqh","https://open.spotify.com/track/3k7jvrUiyvHPTSIlTywdqh","Life Rolls On (Deluxe / Big Machine Radio Release Special)","A#","major","A# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.735,0.223,8,-14.064,1,0.931,0.924,0,0.193,0.669,117.311,"04edYwkbOeYRAwGfe1uUU1","https://api.spotify.com/v1/audio-analysis/04edYwkbOeYRAwGfe1uUU1",3,1,133134,FALSE,"https://api.spotify.com/v1/tracks/04edYwkbOeYRAwGfe1uUU1",FALSE,"Long Time Comin’ - Commentary",NA,13,"track","spotify:track:04edYwkbOeYRAwGfe1uUU1","https://open.spotify.com/track/04edYwkbOeYRAwGfe1uUU1","Life Rolls On (Deluxe / Big Machine Radio Release Special)","G#","major","G# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.402,0.602,10,-6.1,1,0.0382,0.389,0,0.0915,0.299,119.896,"7fI898IWakDqR4lSrbkkCY","https://api.spotify.com/v1/audio-analysis/7fI898IWakDqR4lSrbkkCY",3,1,194773,FALSE,"https://api.spotify.com/v1/tracks/7fI898IWakDqR4lSrbkkCY",FALSE,"Long Time Comin'",NA,14,"track","spotify:track:7fI898IWakDqR4lSrbkkCY","https://open.spotify.com/track/7fI898IWakDqR4lSrbkkCY","Life Rolls On (Deluxe / Big Machine Radio Release Special)","A#","major","A# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.643,0.268,8,-12.192,0,0.844,0.886,0,0.215,0.655,85.092,"2BYA6Daaf18Ovun2CuCfsi","https://api.spotify.com/v1/audio-analysis/2BYA6Daaf18Ovun2CuCfsi",4,1,159311,FALSE,"https://api.spotify.com/v1/tracks/2BYA6Daaf18Ovun2CuCfsi",FALSE,"Interlude / Ain’t Worried Bout It - Commentary",NA,15,"track","spotify:track:2BYA6Daaf18Ovun2CuCfsi","https://open.spotify.com/track/2BYA6Daaf18Ovun2CuCfsi","Life Rolls On (Deluxe / Big Machine Radio Release Special)","G#","minor","G# minor"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.257,0.26,5,-25.801,1,0.0482,0.574,0.912,0.172,0.0719,114.684,"4thXlWBm4Z7Q6F5ASoB38a","https://api.spotify.com/v1/audio-analysis/4thXlWBm4Z7Q6F5ASoB38a",1,1,26105,FALSE,"https://api.spotify.com/v1/tracks/4thXlWBm4Z7Q6F5ASoB38a",FALSE,"Interlude",NA,16,"track","spotify:track:4thXlWBm4Z7Q6F5ASoB38a","https://open.spotify.com/track/4thXlWBm4Z7Q6F5ASoB38a","Life Rolls On (Deluxe / Big Machine Radio Release Special)","F","major","F major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.652,0.642,5,-4.736,1,0.0357,0.263,0,0.175,0.458,124.901,"46ngPRETXnz0DYd0KjPi0q","https://api.spotify.com/v1/audio-analysis/46ngPRETXnz0DYd0KjPi0q",4,1,151974,FALSE,"https://api.spotify.com/v1/tracks/46ngPRETXnz0DYd0KjPi0q",FALSE,"Ain’t Worried Bout It",NA,17,"track","spotify:track:46ngPRETXnz0DYd0KjPi0q","https://open.spotify.com/track/46ngPRETXnz0DYd0KjPi0q","Life Rolls On (Deluxe / Big Machine Radio Release Special)","F","major","F major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.695,0.265,5,-12.105,1,0.908,0.779,0,0.387,0.578,102.853,"4pLQcPYxykFn36ylhlzt1y","https://api.spotify.com/v1/audio-analysis/4pLQcPYxykFn36ylhlzt1y",4,1,107570,FALSE,"https://api.spotify.com/v1/tracks/4pLQcPYxykFn36ylhlzt1y",FALSE,"Beer:30 - Commentary",NA,18,"track","spotify:track:4pLQcPYxykFn36ylhlzt1y","https://open.spotify.com/track/4pLQcPYxykFn36ylhlzt1y","Life Rolls On (Deluxe / Big Machine Radio Release Special)","F","major","F major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.775,0.884,6,-4.763,0,0.0746,0.019,2.25e-05,0.0921,0.792,100.024,"19tnMjHjG4PorMApJK17eK","https://api.spotify.com/v1/audio-analysis/19tnMjHjG4PorMApJK17eK",4,1,139053,FALSE,"https://api.spotify.com/v1/tracks/19tnMjHjG4PorMApJK17eK",FALSE,"Beer:30",NA,19,"track","spotify:track:19tnMjHjG4PorMApJK17eK","https://open.spotify.com/track/19tnMjHjG4PorMApJK17eK","Life Rolls On (Deluxe / Big Machine Radio Release Special)","F#","minor","F# minor"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.784,0.279,8,-12.771,1,0.941,0.889,0,0.218,0.674,80.044,"6vy2uaucoI0CJ5S4RCEPRt","https://api.spotify.com/v1/audio-analysis/6vy2uaucoI0CJ5S4RCEPRt",4,1,114319,FALSE,"https://api.spotify.com/v1/tracks/6vy2uaucoI0CJ5S4RCEPRt",FALSE,"New Truck - Commentary",NA,20,"track","spotify:track:6vy2uaucoI0CJ5S4RCEPRt","https://open.spotify.com/track/6vy2uaucoI0CJ5S4RCEPRt","Life Rolls On (Deluxe / Big Machine Radio Release Special)","G#","major","G# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.646,0.829,1,-3.468,1,0.0799,0.169,0,0.0694,0.934,151.082,"0cNTcY8TYk1XvXZRryZZcf","https://api.spotify.com/v1/audio-analysis/0cNTcY8TYk1XvXZRryZZcf",4,1,142373,FALSE,"https://api.spotify.com/v1/tracks/0cNTcY8TYk1XvXZRryZZcf",FALSE,"New Truck",NA,21,"track","spotify:track:0cNTcY8TYk1XvXZRryZZcf","https://open.spotify.com/track/0cNTcY8TYk1XvXZRryZZcf","Life Rolls On (Deluxe / Big Machine Radio Release Special)","C#","major","C# major"
"Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","0ZBVckb7D7y6vbYfgkFMCu","album","2021-02-19",2021,"day",0.728,0.265,9,-11.785,0,0.908,0.809,0,0.183,0.799,84.253,"67f5ZZCRUuGFO0xiwxkdXV","https://api.spotify.com/v1/audio-analysis/67f5ZZCRUuGFO0xiwxkdXV",3,1,69941,FALSE,"https://api.spotify.com/v1/tracks/67f5ZZCRUuGFO0xiwxkdXV",FALSE,"Eyes Closed - Commentary",NA,22,"track","spotify:track:67f5ZZCRUuGFO0xiwxkdXV","https://open.spotify.com/track/67f5ZZCRUuGFO0xiwxkdXV","Life Rolls On (Deluxe / Big Machine Radio Release Special)","A","minor","A minor"
